category,artifact,relative_path,required_for,user_run_required,evidence_role,path,status,size_bytes
static_validation,c-GC summary,validation_results/cgc/summary.json,saved static synthetic c-GC interpretation,False,core synthetic validation,outputs/validation_results/cgc/summary.json,available,3179
static_validation,c-GC* summary,validation_results/cgc_star/summary.json,saved static synthetic c-GC* interpretation,False,core synthetic validation,outputs/validation_results/cgc_star/summary.json,available,3167
dynamic_a_initial,initial dynamic-A summary,validation_results/dynamic_episodic/summary.json,smoke evidence for dynamic-A script,False,implementation smoke output,outputs/validation_results/dynamic_episodic/summary.json,available,7317
dynamic_a_locked,locked dynamic-A summary,validation_results/dynamic_episodic_locked/summary.json,publication-grade causal-rise versus noncausal-fall claim,True,user-run locked synthetic validation,outputs/validation_results/dynamic_episodic_locked/summary.json,missing,
dynamic_a_locked,locked dynamic-A representation summary,validation_results/dynamic_episodic_locked/representation_summary.csv,publication-grade dynamic-A representation comparison,True,user-run locked synthetic validation,outputs/validation_results/dynamic_episodic_locked/representation_summary.csv,missing,
dynamic_a_locked,locked dynamic-A rise/fall contrasts,validation_results/dynamic_episodic_locked/rise_fall_contrasts.csv,publication-grade dynamic-A rise-minus-comparator claim,True,user-run locked synthetic validation,outputs/validation_results/dynamic_episodic_locked/rise_fall_contrasts.csv,missing,
chen_comparison,Chen comparison rows,chen_comparison/chen_comparison_rows.csv,row-level empirical metric comparison,False,saved empirical artifact summary,outputs/chen_comparison/chen_comparison_rows.csv,available,13720
chen_comparison,Chen comparison summary,chen_comparison/chen_comparison_summary.csv,aggregate empirical metric comparison,False,saved empirical artifact summary,outputs/chen_comparison/chen_comparison_summary.csv,available,4167
false_positive_tradeoff,representation tradeoff summary,validation_tradeoffs/representation_tradeoff_summary.csv,recall versus false-positive interpretation,False,saved synthetic tradeoff summary,outputs/validation_tradeoffs/representation_tradeoff_summary.csv,available,9956
false_positive_tradeoff,rise tradeoff contrasts,validation_tradeoffs/rise_tradeoff_contrasts.csv,rise-minus-comparator synthetic interpretation,False,saved synthetic tradeoff summary,outputs/validation_tradeoffs/rise_tradeoff_contrasts.csv,available,12785
empirical_pairing,paired sign-flip tests,empirical_stats/paired_signflip_tests.csv,paired rise-minus-fall empirical statistics,False,saved empirical paired-statistic summary,outputs/empirical_stats/paired_signflip_tests.csv,available,5939
graph_stability,saved-artifact graph stability summary,graph_stability/graph_stability_summary.csv,support and overlap interpretation from saved graphs,False,saved graph-support summary,outputs/graph_stability/graph_stability_summary.csv,available,2645
empirical_null_controls,empirical null-control contrasts,empirical_null_controls/null_control_contrasts.csv,empirical observed-versus-null claim,True,user-run empirical null controls,outputs/empirical_null_controls/null_control_contrasts.csv,missing,
empirical_stability,empirical re-estimation stability summary,empirical_stability/stability_summary.csv,empirical graph stability claim,True,user-run empirical stability,outputs/empirical_stability/stability_summary.csv,missing,
